 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
83,3779,93.345,49.646,30,25,255,587.134,354.972,578.823,353.233,557.169,497,325,163,66,142.493,33.767,165.783,0.153,165.061,352749,84,1.177,1.628,100,352749,497,343,170.937,50.598,4.220,0.237,0.590
84,496,54.423,9.932,56,30,84,355.986,342.433,355.770,342.274,83.255,342,331,28,23,30.073,21.000,148.850,0.899,31.385,26994,56,-0.330,0.004,100,26994,343,334,149.349,22.361,1.432,0.698,0.954
85,839,94.796,43.732,98,30,255,154.047,356.836,153.096,358.374,132.024,138,334,32,47,49.486,21.587,66.742,0.605,48.765,79534,90,1.478,3.145,100,79534,146,381,74.539,23.652,2.292,0.436,0.858
86,591,91.790,25.847,95,30,163,409.977,354.879,410.481,355.249,90.912,398,339,25,31,29.904,25.163,93.388,0.899,31.064,54248,95,-0.566,0.062,100,54248,408,370,86.309,25.000,1.188,0.841,0.948
87,501,106.174,33.726,129,30,163,746.418,361.250,746.788,361.143,86.083,732,348,28,25,29.911,21.326,35.182,0.850,31.401,53193,118,-0.812,-0.389,100,53193,733,369,37.235,22.465,1.403,0.713,0.934
88,760,105.838,45.708,59,30,210,124.737,376.489,124.609,376.211,113.983,112,354,24,42,42.471,22.784,85.133,0.735,42.579,80437,106,0.106,-1.020,100,80437,119,396,80.538,24.000,1.864,0.536,0.922
89,2071,90.967,31.341,87,30,191,262.781,385.112,263.663,383.736,284.635,221,354,78,57,67.230,39.222,33.130,0.321,81.345,188393,90,0.201,-0.099,100,188393,222,403,20.886,51.085,1.714,0.583,0.716
90,686,77.083,22.393,75,30,140,90.385,371.717,89.864,371.347,98.811,76,355,28,33,33.308,26.223,112.312,0.883,34.176,52879,78,-0.087,-0.114,100,52879,84,356,110.556,26.785,1.270,0.787,0.950
91,1477,107.575,50.767,101,28,255,544.241,376.165,544.436,375.991,201.622,516,356,58,44,61.758,30.451,155.417,0.457,62.266,158889,104,0.635,0.193,100,158889,517,363,150.141,36.277,2.028,0.493,0.811
92,1074,85.353,27.458,84,30,160,673.679,395.809,673.865,396.903,139.882,656,371,32,48,50.287,27.193,72.639,0.690,49.930,91669,84,0.074,-0.528,100,91669,659,417,57.265,29.262,1.849,0.541,0.904
93,943,111.366,61.867,30,25,255,59.938,391.913,58.464,391.530,139.196,40,375,38,38,38.963,30.816,139.996,0.612,43.566,105018,104,0.700,-0.331,100,105018,45,376,121.866,34.648,1.264,0.791,0.871
94,458,115.205,38.320,129,30,180,441.635,400.939,441.952,400.824,80.326,429,388,25,26,28.409,20.527,48.920,0.892,28.601,52764,126,-0.811,-0.370,100,52764,430,410,36.469,21.213,1.384,0.723,0.941
95,424,125.031,45.927,146,30,216,474.267,404.623,474.198,404.409,76.669,462,393,25,23,25.186,21.435,33.705,0.906,26.077,53013,137,-0.577,-0.705,100,53013,467,416,57.529,21.913,1.175,0.851,0.942
96,1570,84.459,31.134,75,30,202,102.915,420.343,104.497,421.685,228.007,74,396,61,49,66.445,30.085,143.681,0.380,68.964,132601,84,0.857,1.558,100,132601,74,404,150.461,36.938,2.209,0.453,0.799
97,715,76.004,17.993,73,30,118,359.662,418.224,359.385,418.753,100.569,345,402,29,33,31.641,28.772,98.775,0.888,33.377,54343,78,-0.478,0.011,100,54343,357,402,98.616,29.000,1.100,0.909,0.948
98,771,64.409,16.481,67,30,101,226.347,427.034,226.328,426.383,136.024,208,409,37,37,42.735,22.971,138.457,0.524,42.802,49659,67,-0.233,-0.666,100,49659,211,411,127.405,26.575,1.860,0.538,0.832
99,959,80.608,22.659,81,30,149,278.084,436.344,277.586,435.808,133.782,258,417,42,39,49.092,24.872,139.021,0.673,48.010,77303,81,-0.055,-0.007,100,77303,259,422,144.324,26.163,1.974,0.507,0.902
100,704,69.757,25.840,61,25,143,566.643,431.673,568.065,431.653,137.338,546,418,43,26,44.408,20.185,168.792,0.469,44.385,49109,67,0.584,-0.219,100,49109,547,423,157.479,24.660,2.200,0.455,0.807
101,356,69.612,18.477,61,30,120,671.657,439.365,671.959,438.710,71.012,661,428,21,23,23.952,18.924,55.209,0.887,25.000,24782,67,0.001,-0.011,100,24782,662,447,36.870,19.606,1.266,0.790,0.934
102,394,63.094,14.363,64,30,95,752.680,446.706,752.637,446.713,78.426,742,433,21,27,30.320,16.545,116.698,0.805,30.232,24859,64,-0.324,-0.458,100,24859,744,434,124.216,17.070,1.833,0.546,0.926
103,649,80.502,31.850,87,25,154,395.563,461.867,394.850,460.886,126.953,381,443,31,36,39.926,20.697,121.142,0.506,39.661,52246,78,0.201,-0.912,100,52246,384,445,123.690,23.426,1.929,0.518,0.835
104,859,87.134,28.753,87,30,177,648.552,462.296,648.548,461.850,129.782,630,443,37,34,34.719,31.502,173.698,0.641,38.079,74848,87,0.118,0.064,100,74848,631,459,156.801,34.000,1.102,0.907,0.890
105,436,114.140,56.790,112,30,255,84.787,461.271,85.763,460.273,85.154,74,448,23,28,29.376,18.897,60.780,0.756,30.414,49765,112,0.620,-0.165,100,49765,78,475,62.592,21.019,1.555,0.643,0.896
106,426,124.728,56.421,120,30,247,552.221,460.101,551.770,460.084,78.669,541,448,22,25,25.560,21.221,81.870,0.865,26.249,53134,126,-0.022,-1.018,100,53134,549,473,72.255,22.000,1.204,0.830,0.938
107,387,64.233,13.858,70,30,92,579.578,463.590,579.613,463.918,71.841,567,453,24,21,24.947,19.751,27.929,0.942,25.632,24858,67,-0.693,-0.106,100,24858,567,467,20.556,20.400,1.263,0.792,0.954
108,1000,85.541,35.009,90,28,171,299.787,500.796,300.428,501.281,172.794,282,473,33,58,52.731,24.146,87.937,0.421,58.310,85541,84,0.308,-0.630,100,85541,301,531,84.094,32.240,2.184,0.458,0.715
109,494,51.130,9.890,47,30,75,211.642,492.460,211.569,492.729,94.225,199,477,27,33,38.086,16.515,56.412,0.699,37.443,25258,50,-0.115,-0.409,100,25258,201,509,55.886,18.135,2.306,0.434,0.903
110,2182,135.952,62.390,255,30,255,507.299,533.581,506.599,533.223,316.919,469,479,70,93,96.003,28.939,55.435,0.273,108.812,296647,135,0.073,-0.900,100,296647,472,569,53.973,42.730,3.317,0.301,0.666
111,1105,94.535,31.459,92,28,191,80.647,513.565,81.115,512.991,162.752,58,490,45,47,55.113,25.528,46.830,0.524,54.406,104461,98,-0.150,-0.342,100,104461,58,529,36.027,29.833,2.159,0.463,0.834
112,462,110.084,39.733,120,30,202,673.768,508.621,673.791,508.858,89.740,664,493,19,31,32.729,17.973,90.552,0.721,32.280,50859,118,-0.335,-0.597,100,50859,669,493,106.189,19.000,1.821,0.549,0.900
113,588,87.218,22.496,92,30,146,643.906,514.454,644.359,514.633,91.841,628,503,32,23,32.563,22.991,179.516,0.876,32.388,51284,90,-0.537,0.181,100,51284,628,512,171.119,22.856,1.416,0.706,0.948
114,830,132.420,59.254,255,30,255,335.347,539.935,335.789,539.536,118.953,314,521,39,33,36.800,28.717,17.054,0.737,39.623,109909,132,0.350,-0.390,100,109909,314,539,169.824,32.194,1.281,0.780,0.894
115,605,80.825,23.345,84,30,146,18.968,540.171,18.729,540.330,103.983,2,524,32,31,39.409,19.547,46.849,0.703,39.623,48899,84,-0.222,-0.450,100,48899,3,553,42.955,20.870,2.016,0.496,0.895
116,482,52.054,9.320,47,30,75,781.344,541.726,781.005,542.205,82.669,769,529,25,26,28.901,21.235,49.267,0.886,30.017,25090,53,-0.083,-0.470,100,25090,775,555,60.018,21.920,1.361,0.735,0.947
117,422,122.111,49.610,137,30,225,445.254,543.886,445.036,544.248,84.326,431,530,27,26,30.227,17.776,43.789,0.746,30.017,51531,135,-0.407,-0.885,100,51531,436,556,60.018,19.731,1.701,0.588,0.882
118,458,113.022,61.310,255,30,255,110.469,553.168,112.613,553.607,101.397,96,540,33,22,34.787,16.763,162.856,0.560,35.847,51764,109,0.754,-0.146,100,51764,98,541,149.859,20.473,2.075,0.482,0.843
119,746,138.004,65.864,255,30,255,372.547,563.639,372.266,564.044,122.711,359,542,30,40,40.641,23.371,117.825,0.623,43.463,102951,137,0.213,-0.733,100,102951,365,542,113.025,27.000,1.739,0.575,0.860
120,822,92.712,35.071,84,30,174,176.375,558.956,175.827,558.471,154.995,149,543,60,28,59.460,17.602,163.528,0.430,62.642,76209,90,0.146,-0.733,100,76209,149,547,163.301,23.276,3.378,0.296,0.780
121,451,55.676,12.612,67,30,81,775.061,570.624,775.619,570.534,81.255,764,558,22,27,27.108,21.183,96.895,0.858,27.893,25110,56,-0.250,-0.889,100,25110,770,558,104.534,22.000,1.280,0.781,0.941
